Date_reported,Country_code,Country,WHO_region,New_hospitalizations_last_7days,New_icu_admissions_last_7days,New_hospitalizations_last_28days,New_icu_admissions_last_28days
2025-03-30,AFG,Afghanistan,EMR,,,,
2025-03-30,ALB,Albania,EUR,,,,
2025-03-30,DZA,Algeria,AFR,,,,
2025-03-30,ASM,American Samoa,WPR,,,,
2025-03-30,AND,Andorra,EUR,,,,
2025-03-30,AGO,Angola,AFR,,,,
2025-03-30,AIA,Anguilla,AMR,,,,
2025-03-30,ATG,Antigua And Barbuda,AMR,,,,
2025-03-30,ARG,Argentina,AMR,17,,121,
2025-03-30,ARM,Armenia,EUR,,,,
2025-03-30,ABW,Aruba,AMR,,,,
2025-03-30,AUS,Australia,WPR,,1,,11
2025-03-30,AUT,Austria,EUR,,,,
2025-03-30,AZE,Azerbaijan,EUR,,,,
2025-03-30,BHS,Bahamas,AMR,,,,
2025-03-30,BHR,Bahrain,EMR,,,,
2025-03-30,BGD,Bangladesh,SEAR,,,,
2025-03-30,BRB,Barbados,AMR,,,,
2025-03-30,BLR,Belarus,EUR,,,,
2025-03-30,BEL,Belgium,EUR,,,,
2025-03-30,BLZ,Belize,AMR,,,,
2025-03-30,BEN,Benin,AFR,,,,
2025-03-30,BMU,Bermuda,AMR,,,,
2025-03-30,BTN,Bhutan,SEAR,,,,
2025-03-30,BOL,Bolivia (Plurinational State Of),AMR,,,0,0
2025-03-30,BES,"Bonaire, Sint Eustatius And Saba",AMR,,,,
2025-03-30,BIH,Bosnia And Herzegovina,EUR,,,3,0
2025-03-30,BWA,Botswana,AFR,,,,
2025-03-30,BRA,Brazil,AMR,24,8,464,145
2025-03-30,VGB,British Virgin Islands,AMR,,,0,0
2025-03-30,BRN,Brunei Darussalam,WPR,0,0,1,0
2025-03-30,BGR,Bulgaria,EUR,,,,
2025-03-30,BFA,Burkina Faso,AFR,,,,
2025-03-30,BDI,Burundi,AFR,,,,
2025-03-30,CPV,Cabo Verde,AFR,,,,
2025-03-30,KHM,Cambodia,WPR,,,,
2025-03-30,CMR,Cameroon,AFR,,,,
2025-03-30,CAN,Canada,AMR,,,,
2025-03-30,CYM,Cayman Islands,AMR,,,,
2025-03-30,CAF,Central African Republic,AFR,,,,
2025-03-30,TCD,Chad,AFR,,,,
2025-03-30,CHL,Chile,AMR,12,2,36,12
2025-03-30,CHN,China,WPR,,,,
2025-03-30,COL,Colombia,AMR,185,0,749,0
2025-03-30,COM,Comoros,AFR,,,,
2025-03-30,COG,Congo,AFR,,,,
2025-03-30,COK,Cook Islands,WPR,,,,
2025-03-30,CRI,Costa Rica,AMR,,,0,0
2025-03-30,CIV,Côte D’Ivoire,AFR,,,,
2025-03-30,HRV,Croatia,EUR,,,,
2025-03-30,CUB,Cuba,AMR,,,,
2025-03-30,CUW,Curaçao,AMR,,,,
2025-03-30,CYP,Cyprus,EUR,,,,
2025-03-30,CZE,Czechia,EUR,4,,26,3
2025-03-30,PRK,Democratic People'S Republic Of Korea,SEAR,,,,
2025-03-30,COD,Democratic Republic Of The Congo,AFR,,,,
2025-03-30,DNK,Denmark,EUR,,,,
2025-03-30,DJI,Djibouti,EMR,,,,
2025-03-30,DMA,Dominica,AMR,,,,
2025-03-30,DOM,Dominican Republic,AMR,,,,
2025-03-30,ECU,Ecuador,AMR,,,,
2025-03-30,EGY,Egypt,EMR,,,,
2025-03-30,SLV,El Salvador,AMR,,,,
2025-03-30,GNQ,Equatorial Guinea,AFR,,,,
2025-03-30,ERI,Eritrea,AFR,,,,
2025-03-30,EST,Estonia,EUR,3,,33,
2025-03-30,SWZ,Eswatini,AFR,,,,
2025-03-30,ETH,Ethiopia,AFR,,,,
2025-03-30,FLK,Falkland Islands (Malvinas),AMR,,,,
2025-03-30,FRO,Faroe Islands,EUR,,,,
2025-03-30,FJI,Fiji,WPR,,,,
2025-03-30,FIN,Finland,EUR,,,,
2025-03-30,FRA,France,EUR,1,2,9,9
2025-03-30,GUF,French Guiana,AMR,,,,
2025-03-30,PYF,French Polynesia,WPR,,,,
2025-03-30,GAB,Gabon,AFR,,,,
2025-03-30,GMB,Gambia,AFR,,,,
2025-03-30,GEO,Georgia,EUR,,,,
2025-03-30,DEU,Germany,EUR,,,,
2025-03-30,GHA,Ghana,AFR,,,,
2025-03-30,GIB,Gibraltar,EUR,,,,
2025-03-30,GRC,Greece,EUR,83,3,353,8
2025-03-30,GRL,Greenland,EUR,,,,
2025-03-30,GRD,Grenada,AMR,,,,
2025-03-30,GLP,Guadeloupe,AMR,,,,
2025-03-30,GUM,Guam,WPR,,,,
2025-03-30,GTM,Guatemala,AMR,1,1,2,1
2025-03-30,GGY,Guernsey,EUR,,,,
2025-03-30,GIN,Guinea,AFR,,,,
2025-03-30,GNB,Guinea-Bissau,AFR,,,,
2025-03-30,GUY,Guyana,AMR,,,0,0
2025-03-30,HTI,Haiti,AMR,0,0,0,0
2025-03-30,VAT,Holy See,EUR,,,,
2025-03-30,HND,Honduras,AMR,1,0,2,0
2025-03-30,HUN,Hungary,EUR,,,,
2025-03-30,ISL,Iceland,EUR,,,,
2025-03-30,IND,India,SEAR,,,,
2025-03-30,IDN,Indonesia,SEAR,,,,
2025-03-30,XXL,International Commercial Vessel,OTHER,,,,
2025-03-30,XXF,International Conveyance (American Samoa),OTHER,,,,
2025-03-30,XXJ,International Conveyance (Diamond Princess),OTHER,,,,
2025-03-30,XXI,International Conveyance (Kiribati),OTHER,,,,
2025-03-30,XXG,International Conveyance (Solomon Islands),OTHER,,,,
2025-03-30,XXH,International Conveyance (Vanuatu),OTHER,,,,
2025-03-30,IRN,Iran (Islamic Republic Of),EMR,,,,
2025-03-30,IRQ,Iraq,EMR,,,,
2025-03-30,IRL,Ireland,EUR,40,,158,
2025-03-30,IMN,Isle Of Man,EUR,,,,
2025-03-30,ISR,Israel,EUR,,,,
2025-03-30,ITA,Italy,EUR,52,3,278,12
2025-03-30,JAM,Jamaica,AMR,,,,
2025-03-30,JPN,Japan,WPR,,,,
2025-03-30,JEY,Jersey,EUR,,,,
2025-03-30,JOR,Jordan,EMR,,,,
2025-03-30,KAZ,Kazakhstan,EUR,,,,
2025-03-30,KEN,Kenya,AFR,,,,
2025-03-30,KIR,Kiribati,WPR,,,,
2025-03-30,XKX,Kosovo (In Accordance With Un Security Council Resolution 1244 (1999)),EUR,,,,
2025-03-30,KWT,Kuwait,EMR,,,,
2025-03-30,KGZ,Kyrgyzstan,EUR,,,,
2025-03-30,LAO,Lao People'S Democratic Republic,WPR,,,,
2025-03-30,LVA,Latvia,EUR,31,,132,
2025-03-30,LBN,Lebanon,EMR,,,,
2025-03-30,LSO,Lesotho,AFR,,,,
2025-03-30,LBR,Liberia,AFR,,,,
2025-03-30,LBY,Libya,EMR,,,,
2025-03-30,LIE,Liechtenstein,EUR,,,,
2025-03-30,LTU,Lithuania,EUR,22,4,59,6
2025-03-30,LUX,Luxembourg,EUR,,,,
2025-03-30,MDG,Madagascar,AFR,,,,
2025-03-30,MWI,Malawi,AFR,,,,
2025-03-30,MYS,Malaysia,WPR,,,,
2025-03-30,MDV,Maldives,SEAR,,,,
2025-03-30,MLI,Mali,AFR,,,,
2025-03-30,MLT,Malta,EUR,3,,12,
2025-03-30,MHL,Marshall Islands,WPR,,,,
2025-03-30,MTQ,Martinique,AMR,,,,
2025-03-30,MRT,Mauritania,AFR,,,0,0
2025-03-30,MUS,Mauritius,AFR,,,,
2025-03-30,MYT,Mayotte,AFR,,,,
2025-03-30,MEX,Mexico,AMR,,,,
2025-03-30,FSM,Micronesia (Federated States Of),WPR,,,,
2025-03-30,MCO,Monaco,EUR,,,,
2025-03-30,MNG,Mongolia,WPR,,,,
2025-03-30,MNE,Montenegro,EUR,,,,
2025-03-30,MSR,Montserrat,AMR,,,,
2025-03-30,MAR,Morocco,EMR,,,,
2025-03-30,MOZ,Mozambique,AFR,,,,
2025-03-30,MMR,Myanmar,SEAR,,,,
2025-03-30,NAM,Namibia,AFR,,,,
2025-03-30,NRU,Nauru,WPR,,,,
2025-03-30,NPL,Nepal,SEAR,,,,
2025-03-30,NLD,Netherlands,EUR,,,,
2025-03-30,NCL,New Caledonia,WPR,,,,
2025-03-30,NZL,New Zealand,WPR,45,0,248,11
2025-03-30,NIC,Nicaragua,AMR,,,,
2025-03-30,NER,Niger,AFR,,,,
2025-03-30,NGA,Nigeria,AFR,,,,
2025-03-30,NIU,Niue,WPR,,,,
2025-03-30,MKD,North Macedonia,EUR,,,,
2025-03-30,MNP,Northern Mariana Islands (Commonwealth Of The),WPR,,,,
2025-03-30,NOR,Norway,EUR,,,,
2025-03-30,PSE,"Occupied Palestinian Territory, Including East Jerusalem",EMR,,,,
2025-03-30,OMN,Oman,EMR,,,,
2025-03-30,PAK,Pakistan,EMR,,,,
2025-03-30,PLW,Palau,WPR,,,,
2025-03-30,PAN,Panama,AMR,,,,
2025-03-30,PNG,Papua New Guinea,WPR,,,,
2025-03-30,PRY,Paraguay,AMR,,,,
2025-03-30,PER,Peru,AMR,,,,
2025-03-30,PHL,Philippines,WPR,,,,
2025-03-30,PCN,Pitcairn Islands,WPR,,,,
2025-03-30,POL,Poland,EUR,26,,122,
2025-03-30,PRT,Portugal,EUR,0,,0,
2025-03-30,PRI,Puerto Rico,AMR,,,,
2025-03-30,QAT,Qatar,EMR,,,,
2025-03-30,KOR,Republic Of Korea,WPR,,,,
2025-03-30,MDA,Republic Of Moldova,EUR,,,,
2025-03-30,REU,Réunion,AFR,,,,
2025-03-30,ROU,Romania,EUR,,,,
2025-03-30,RUS,Russian Federation,EUR,,,760,
2025-03-30,RWA,Rwanda,AFR,,,,
2025-03-30,BLM,Saint Barthélemy,AMR,,,,
2025-03-30,SHN,Saint Helena,AFR,,,,
2025-03-30,KNA,Saint Kitts And Nevis,AMR,,,,
2025-03-30,LCA,Saint Lucia,AMR,0,0,0,0
2025-03-30,MAF,Saint Martin,AMR,,,,
2025-03-30,SPM,Saint Pierre And Miquelon,AMR,,,,
2025-03-30,VCT,Saint Vincent And The Grenadines,AMR,,,,
2025-03-30,WSM,Samoa,WPR,,,,
2025-03-30,SMR,San Marino,EUR,,,,
2025-03-30,STP,Sao Tome And Principe,AFR,,,,
2025-03-30,SAU,Saudi Arabia,EMR,,,,
2025-03-30,SEN,Senegal,AFR,,,,
2025-03-30,SRB,Serbia,EUR,,,,
2025-03-30,SYC,Seychelles,AFR,,,,
2025-03-30,SLE,Sierra Leone,AFR,,,,
2025-03-30,SGP,Singapore,WPR,55,1,197,4
2025-03-30,SXM,Sint Maarten,AMR,,,,
2025-03-30,SVK,Slovakia,EUR,2,,7,1
2025-03-30,SVN,Slovenia,EUR,,,,
2025-03-30,SLB,Solomon Islands,WPR,,,,
2025-03-30,SOM,Somalia,EMR,,,,
2025-03-30,ZAF,South Africa,AFR,,,,
2025-03-30,SSD,South Sudan,AFR,,,,
2025-03-30,ESP,Spain,EUR,,,,
2025-03-30,LKA,Sri Lanka,SEAR,,,,
2025-03-30,SDN,Sudan,EMR,,,,
2025-03-30,SUR,Suriname,AMR,0,0,0,0
2025-03-30,SWE,Sweden,EUR,,,,4
2025-03-30,CHE,Switzerland,EUR,,,,
2025-03-30,SYR,Syrian Arab Republic,EMR,,,,
2025-03-30,TJK,Tajikistan,EUR,,,,
2025-03-30,THA,Thailand,SEAR,,,,
2025-03-30,GBR,The United Kingdom,EUR,,,,
2025-03-30,TLS,Timor-Leste,SEAR,,,,
2025-03-30,TGO,Togo,AFR,,,,
2025-03-30,TKL,Tokelau,WPR,,,,
2025-03-30,TON,Tonga,WPR,,,,
2025-03-30,TTO,Trinidad And Tobago,AMR,,,,
2025-03-30,TUN,Tunisia,EMR,,,,
2025-03-30,TUR,Turkey,EUR,,,,
2025-03-30,TKM,Turkmenistan,EUR,,,,
2025-03-30,TCA,Turks And Caicos Islands,AMR,0,0,0,0
2025-03-30,TUV,Tuvalu,WPR,,,,
2025-03-30,UGA,Uganda,AFR,,,,
2025-03-30,UKR,Ukraine,EUR,1,0,2,0
2025-03-30,ARE,United Arab Emirates,EMR,,,,
2025-03-30,TZA,United Republic Of Tanzania,AFR,,,,
2025-03-30,USA,United States Of America,AMR,574,,2603,
2025-03-30,VIR,United States Virgin Islands,AMR,,,,
2025-03-30,URY,Uruguay,AMR,2,0,8,0
2025-03-30,UZB,Uzbekistan,EUR,,,,
2025-03-30,VUT,Vanuatu,WPR,,,,
2025-03-30,VEN,Venezuela (Bolivarian Republic Of),AMR,,,,
2025-03-30,VNM,Viet Nam,WPR,,,,
2025-03-30,WLF,Wallis And Futuna,WPR,,,,
2025-03-30,YEM,Yemen,EMR,,,,
2025-03-30,ZMB,Zambia,AFR,,,,
