Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Afghanistan,AFG,EMR,LIC,2025,2,15_64,
Afghanistan,AFG,EMR,LIC,2025,2,5_14,
Afghanistan,AFG,EMR,LIC,2025,1,15_64,
Afghanistan,AFG,EMR,LIC,2025,2,0_4,
Afghanistan,AFG,EMR,LIC,2025,1,65+,
Afghanistan,AFG,EMR,LIC,2025,2,65+,
Afghanistan,AFG,EMR,LIC,2025,1,0_4,
Afghanistan,AFG,EMR,LIC,2025,1,5_14,
Aland Islands,ALA,EUR,,2025,1,15_64,
Aland Islands,ALA,EUR,,2025,2,5_14,
Aland Islands,ALA,EUR,,2025,1,5_14,
Aland Islands,ALA,EUR,,2025,1,65+,
Aland Islands,ALA,EUR,,2025,2,65+,
Aland Islands,ALA,EUR,,2025,2,0_4,
Aland Islands,ALA,EUR,,2025,1,0_4,
Aland Islands,ALA,EUR,,2025,2,15_64,
Albania,ALB,EUR,UMC,2025,2,5_14,
Albania,ALB,EUR,UMC,2025,1,5_14,
Albania,ALB,EUR,UMC,2025,1,0_4,
Albania,ALB,EUR,UMC,2025,2,0_4,
Albania,ALB,EUR,UMC,2025,2,15_64,
Albania,ALB,EUR,UMC,2025,1,15_64,
Albania,ALB,EUR,UMC,2025,1,65+,
Albania,ALB,EUR,UMC,2025,2,65+,
Algeria,DZA,AFR,LMC,2025,2,5_14,
Algeria,DZA,AFR,LMC,2025,1,5_14,
Algeria,DZA,AFR,LMC,2025,2,15_64,
Algeria,DZA,AFR,LMC,2025,1,15_64,
Algeria,DZA,AFR,LMC,2025,2,65+,
Algeria,DZA,AFR,LMC,2025,1,65+,
Algeria,DZA,AFR,LMC,2025,1,0_4,
Algeria,DZA,AFR,LMC,2025,2,0_4,
American Samoa,ASM,WPR,UMC,2025,2,0_4,
American Samoa,ASM,WPR,UMC,2025,1,0_4,
American Samoa,ASM,WPR,UMC,2025,1,65+,
American Samoa,ASM,WPR,UMC,2025,2,65+,
American Samoa,ASM,WPR,UMC,2025,2,15_64,
American Samoa,ASM,WPR,UMC,2025,1,15_64,
American Samoa,ASM,WPR,UMC,2025,1,5_14,
American Samoa,ASM,WPR,UMC,2025,2,5_14,
Andorra,AND,EUR,HIC,2025,1,0_4,
Andorra,AND,EUR,HIC,2025,2,0_4,
Andorra,AND,EUR,HIC,2025,1,5_14,
Andorra,AND,EUR,HIC,2025,2,5_14,
Andorra,AND,EUR,HIC,2025,1,65+,
Andorra,AND,EUR,HIC,2025,1,15_64,
Andorra,AND,EUR,HIC,2025,2,65+,
Andorra,AND,EUR,HIC,2025,2,15_64,
Angola,AGO,AFR,LMC,2025,2,65+,
Angola,AGO,AFR,LMC,2025,1,65+,
Angola,AGO,AFR,LMC,2025,2,0_4,
Angola,AGO,AFR,LMC,2025,1,15_64,
Angola,AGO,AFR,LMC,2025,1,0_4,
Angola,AGO,AFR,LMC,2025,1,5_14,
Angola,AGO,AFR,LMC,2025,2,15_64,
Angola,AGO,AFR,LMC,2025,2,5_14,
Anguilla,AIA,AMR,,2025,2,0_4,
Anguilla,AIA,AMR,,2025,1,15_64,
Anguilla,AIA,AMR,,2025,2,15_64,
Anguilla,AIA,AMR,,2025,1,0_4,
Anguilla,AIA,AMR,,2025,1,5_14,
Anguilla,AIA,AMR,,2025,1,65+,
Anguilla,AIA,AMR,,2025,2,65+,
Anguilla,AIA,AMR,,2025,2,5_14,
Antarctica,ATA,,,2025,1,0_4,
Antarctica,ATA,,,2025,2,0_4,
Antarctica,ATA,,,2025,2,15_64,
Antarctica,ATA,,,2025,1,15_64,
Antarctica,ATA,,,2025,2,65+,
Antarctica,ATA,,,2025,2,5_14,
Antarctica,ATA,,,2025,1,65+,
Antarctica,ATA,,,2025,1,5_14,
Antigua and Barbuda,ATG,AMR,HIC,2025,1,65+,
Antigua and Barbuda,ATG,AMR,HIC,2025,2,65+,
Antigua and Barbuda,ATG,AMR,HIC,2025,1,0_4,
Antigua and Barbuda,ATG,AMR,HIC,2025,2,0_4,
Antigua and Barbuda,ATG,AMR,HIC,2025,1,15_64,
Antigua and Barbuda,ATG,AMR,HIC,2025,2,15_64,
Antigua and Barbuda,ATG,AMR,HIC,2025,1,5_14,
Antigua and Barbuda,ATG,AMR,HIC,2025,2,5_14,
Argentina,ARG,AMR,UMC,2025,1,65+,1
Argentina,ARG,AMR,UMC,2025,1,0_4,2
Argentina,ARG,AMR,UMC,2025,2,0_4,
Argentina,ARG,AMR,UMC,2025,2,15_64,3
Argentina,ARG,AMR,UMC,2025,1,5_14,
Argentina,ARG,AMR,UMC,2025,2,5_14,
Argentina,ARG,AMR,UMC,2025,2,65+,3
Argentina,ARG,AMR,UMC,2025,1,15_64,1
Armenia,ARM,EUR,UMC,2025,2,65+,
Armenia,ARM,EUR,UMC,2025,1,0_4,
Armenia,ARM,EUR,UMC,2025,2,0_4,
Armenia,ARM,EUR,UMC,2025,1,15_64,
Armenia,ARM,EUR,UMC,2025,2,15_64,
Armenia,ARM,EUR,UMC,2025,2,5_14,
